truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=0,0.95,7,650,2000,1704284481,261,1739,0.0015408320493066256,0.0,0.0075189869504841255,0.0,0.0,0.136,False,0.002552622481114996,True
y=0,0.95,9,650,2000,2382533543,48,1952,0.0,0.0,0.0028120184899845854,0.0,0.0,0.075,False,0.0004781254159454455,True
y=0,0.95,15,650,2000,1424997724,0,2000,,,,0.0,0.0,0.069,False,3.214361309494438e-06,True
pooled_balanced,0.05,3,650,2000,1423009757,2000,0,0.5,0.4732335425720264,0.5259961465259736,324.0,0.49846153846153846,0.638,False,,False
pooled_balanced,0.05,5,650,2000,3129422717,2000,0,0.49965443786982244,0.46730477921684466,0.532380062153034,325.0,0.5,0.648,False,,False
pooled_balanced,0.05,7,650,2000,3501234705,2000,0,0.49933727183215937,0.4643343195266272,0.5359564497041419,325.0,0.5,0.654,False,,False
pooled_balanced,0.05,9,650,2000,65495515,2000,0,0.5001633136094674,0.46222,0.5373779881656805,325.0,0.5,0.665,False,,False
pooled_balanced,0.05,15,650,2000,1022228565,2000,0,0.50021775147929,0.46044437869822485,0.5411667455621302,325.0,0.5,0.68,False,,False
pooled_balanced,0.1,3,650,2000,228297200,2000,0,0.49992897444618245,0.46459886139794393,0.5338555214158853,322.0,0.49538461538461537,0.65,False,,False
pooled_balanced,0.1,5,650,2000,2296702321,2000,0,0.5001301799349679,0.4619654347059817,0.5397990356788922,323.0,0.4969230769230769,0.665,False,,False
pooled_balanced,0.1,7,650,2000,3881619123,2000,0,0.4985940494285643,0.45813738647684965,0.5433890210335307,324.0,0.49846153846153846,0.68,False,,False
pooled_balanced,0.1,9,650,2000,3586619205,2000,0,0.5002437869822485,0.4596292211997273,0.5408474873134894,325.0,0.5,0.683,False,,False
pooled_balanced,0.1,15,650,2000,2766167645,2000,0,0.4996804733727811,0.45455112426035504,0.545231597633136,325.0,0.5,0.686,False,,False
pooled_balanced,0.15,3,650,2000,2590687094,2000,0,0.49940824771986,0.45987152744892895,0.5387804854957207,321.0,0.4938461538461538,0.661,False,,False
pooled_balanced,0.15,5,650,2000,2822746769,2000,0,0.5007764967812323,0.4590001390799087,0.5394088249707664,322.0,0.49538461538461537,0.679,False,,False
pooled_balanced,0.15,7,650,2000,2360715405,2000,0,0.4986839983912559,0.45678488115289295,0.5439574220571095,323.0,0.4969230769230769,0.682,False,,False
pooled_balanced,0.15,9,650,2000,1705433608,2000,0,0.4990650533511328,0.4579593946066736,0.5421169330542592,324.0,0.49846153846153846,0.685,False,,False
pooled_balanced,0.15,15,650,2000,374042356,2000,0,0.4993467424697722,0.4556911781413315,0.5418725443786983,325.0,0.5,0.692,False,,False
pooled_balanced,0.2,3,650,2000,395753801,2000,0,0.5008121111100587,0.46290091815142453,0.537574013781468,320.0,0.49230769230769234,0.716,False,,False
pooled_balanced,0.2,5,650,2000,1963727385,2000,0,0.4987665538887288,0.45738659704225026,0.541553282974956,321.0,0.4938461538461538,0.683,False,,False
